Asiento ID,Timestamp,Total Debe,Total Haber,Hash Chain
26001e47-c1eb-41d9-978c-622415b38c97,1788210682,2.500000035e+19,2.500000035e+19,d71094d2476b74dad982949b3041ca21a73b480d0b7bc538d6f388c68afdee44
c7fb79fd-ffc9-4415-b12b-196740bd08d5,1788210682,2.400000028e+19,2.400000028e+19,886f0cf89523bfea9a5bba20197e38356b19d3a6a9d9553fa240404045c91ccc
5bacb15a-e95b-4833-a97f-3d9f0a46840a,1788210867,2.500000035e+19,2.500000035e+19,e49a39c758d2e5e2e00cddc59833dffed0868fd2acf4591d194dc880f76ba889
e4516e43-e63e-4919-a62d-af42915c8b29,1788210867,2.400000028e+19,2.400000028e+19,7020ca847d81545ca786cc92ea91469d8b2c9355785b37a5a57dc1149d5dbdb6
5373a029-707c-4d64-9c6a-8d935b1f1442,1788210946,2.500000035e+19,2.500000035e+19,5734af05261094a3d8b6817612cc5972681151b52863cf2cd2e65f5e379a4933
ae8d2548-26d5-4c71-a2d2-91f95ca1aea3,1788210946,2.400000028e+19,2.400000028e+19,fe48c9dbcbdfa72f9e6e5af97e9fde19622932b28f17dd9b6449b4828b64cb5b
4380dfb7-bfc8-4710-9ae6-a4a63509bb4f,1788211202,500000000000,500000000000,2b67e631cc88cd87be6f0cd01a98c0844041b6ee20588744d0a25180985e4b09
e4ffec47-a2cd-4923-a059-84cf0fe43d8d,1788211202,300000000000,300000000000,bd3ba9c9c2c7495ce77e864f1cf60556b71606dd32ce53c3ae6f9a2e886023ea
60e08ed6-ae70-4708-aa9c-d37535916a1f,1788211202,350000000000,350000000000,29239b66a1f6c59dc0bbc8b10e0a886ddcc8b27fd6921df03d65c4d0c7e5c308
22bce165-be15-43a0-9de4-522c3b9d35f4,1788211202,280000000000,280000000000,d753b38799343b016f74069f0af9702625b6c78619668314a42f5277af6ca905
8cc58b11-93d3-4f71-a17e-175a597c2279,1788211236,2.500000035e+19,2.500000035e+19,5a20fd5411ecce5d38beeb2691d56df9fbdfec665ad90d569ed91de015d12d53
ffc32717-c56b-4ada-81ad-fb9cf3c3fc6b,1788211236,2.400000028e+19,2.400000028e+19,b69744d4e4c66f6e52f0a149287c7e00bc5402afc9b8345a38e66f005f4c6c63
4e9792a5-9e60-432b-99b0-83d9e980db5f,1788211246,2.500000035e+19,2.500000035e+19,1bd03637d008eed512c9f86b3004d300f5d530f5ce0b57d4f7f685f97cbe704b
d032f6cd-6354-4d3f-8f4a-b34bbd9a515e,1788211246,2.400000028e+19,2.400000028e+19,73fa3233f71a46f5bbeb4285609b9b8368df6e24af94fc3110002d39c69a649b
6a2a89e7-f8ca-403f-837f-b7c399f0fd39,1788211341,500000000000,500000000000,a209932fa813a19d3bdb41889bd96bf8a1ab459898099f892327d61ae2be8737
04f7d77c-1e67-4b79-8767-c42d76476d72,1788211341,300000000000,300000000000,103874240aedf3627f61342c8f2c27ca834d1c948f455a7c78acb010b7fba8fb
393c926a-2c90-4c45-8945-c2b1731d1159,1788211341,350000000000,350000000000,ce32e10fca50139d11df1363877cd18d992e057c8828ab74aeb72eb6c43cbb25
99978d34-6e86-4519-bf8f-632a7bbf5204,1788211341,280000000000,280000000000,6fcf6ab759a7a1db60c6ef10367f7322073ec0f9bad7f43dc57c0bc2b1cbaca1
c1831ce7-4a93-42a0-9764-4d66e8c563ec,1788212439,500000000000,500000000000,8ab7fbce4218e639f8a0ef9a9a2df6070434942ce53d6d7c17c776cfafb02657
d814f311-f935-4d28-925e-ca76b52bd959,1788212439,300000000000,300000000000,0668e81aea00b492ec30d451c78f0aca6c43b19268748f4ad403a9b8e79c1457
20a709a2-b368-4d2d-a5a8-d5c76fe8d8a9,1788212439,350000000000,350000000000,9dddfb6f9bde2b69d2475cfefa566fa2a54fe15f5134801943232c3e7983a7f8
1caeadcc-fb84-475d-a09b-1987cd045a4a,1788212439,280000000000,280000000000,4d2d334206655d7f42253c1abdc1e5a9befc46529634fe6f756d3aa0e77eccc5
c8a2a14d-c25d-4519-a265-fb252905564a,1788213157,7983260000000,7983260000000,ea9edf7cfe1ee7b3ab1cecbe320dbc0f3fef70806360b4ddb894bb19cf2e6e03
9649f8d2-5463-42bf-a7ef-71579cea0e76,1788213157,18531062442400,18531062442400,ff333a07140693ef2d649812a077f17718c4f4b6d221ef67aa93652fc5765a91
a5564365-77b7-4143-a2dc-f0548d34ce24,1788217533,1000,1000,21d0be3d583bde039b0aaed710975c3b3c70745657de9ec3738705977c6e3e88
7c54eb7d-77c4-4def-8202-d10a00a2397a,1788217589,2000,2000,910749796cbbe72c691a4b465d6b3a1b9e7b92375f5f1a8ffade27d470057c13
